OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
Virtual Machines,Msv3 Medium Memory Series,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,GA,GA,,,,,GA,GA,,,GA,GA,GA,,,,GA,,GA,GA,,,,,,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,,,,,,GA,,,GA,GA
Virtual Machines,Mv2 SKL-series,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,GA,,,GA,,GA,GA,GA,,,,,GA,,,,GA,GA,,GA,,,,,GA,GA,,,,,GA,,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA
Virtual Machines,NCads A100 v4-Series,,,GA,,,GA,GA,,GA,,GA,GA,,,,GA,,,,,,GA,GA,,GA,,,,,,GA,GA,,GA,,,,,,,GA,,,,,,,GA,,GA,,GA,,GA,,,,,GA,,,,,,GA,,GA,GA,GA
Virtual Machines,NCadsH100_v5-series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,GA,GA,,,GA,,GA,,,,,,,GA,,,,,,,GA,,GA,GA,GA,,GA,,,,,GA,,,,,,GA,,GA,GA,GA
Virtual Machines,NCas T4 v3-Series,GA,GA,GA,,,,GA,,GA,,GA,GA,,,,,,,GA,,,GA,GA,,,,,GA,,,GA,GA,GA,GA,,,,,,GA,GA,,,,,,,GA,GA,GA,,GA,,,,,,,GA,,,,GA,,GA,,GA,GA,GA
Virtual Machines,NCCadsH100_v5-series,,,,,,,,,,,,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,
Virtual Machines,NCv3-Series,,,Closing Down,,,,,,Closing Down,,Closing Down,Closing Down,,,Closing Down,,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,Closing Down,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,Closing Down
Virtual Machines,NDamsr A100 v4-Series,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,,,
Virtual Machines,NDasr A100 v4-Series,,,,,,GA,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,GA,,,,GA,,GA,,,GA,
Virtual Machines,NDsr H100 v5-Series,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,GA,,GA,,,,,,,,,,,,GA,,,,,,GA,,,,GA,,GA,,,GA,,,,GA,,GA,,
Virtual Machines,NDsr H200 v5-Series,,,GA,,,,,,,,,,,,,,,,,,,,GA,,GA,,,,,,GA,,GA,,GA,,GA,,,GA,,GA,,,,GA,,,,,GA,,,,,,,GA,GA,GA,,,,,,,,,GA
Virtual Machines,NDsr MI300X v5-Series,,,,,,,,,GA,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,GA,,
Virtual Machines,NDv2-Series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,,GA,
Virtual Machines,NGads_V620_v1-series,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,GA,,,,
Virtual Machines,NP-series,,,,,,,,,Closing Down,,,,,,,,,,,,,Closing Down,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,Closing Down,,Closing Down,,,,,,,,,,,,,,,Closing Down,,,Closing Down,
Virtual Machines,NVads_V710_v5-series,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,,GA,,,,,,,,,,,,,,,,,GA,,GA,,
Virtual Machines,NVadsA10_v5-series,,,GA,,,,GA,,GA,,GA,,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,,GA,,,,,,GA,GA,,,,GA,GA,,GA,,GA,,GA,,GA,,,,GA,GA,,GA,,GA,,GA,,GA,GA,GA
Virtual Machines,NVv3-Series,,,Closing Down,,,,Closing Down,,,,Closing Down,,,,,,,,,,,Closing Down,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,,,,Closing Down,Closing Down,Closing Down,,,Closing Down,,Closing Down,,Closing Down,,,,Closing Down,,,,Closing Down,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,NVv4-Series,,,Closing Down,,,,,,Closing Down,,Closing Down,,,,,,,,Closing Down,,,Closing Down,Closing Down,,,,,Closing Down,,,,Closing Down,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,Closing Down,,Closing Down,Closing Down,,,,,,,,Closing Down,,,,Closing Down,,Closing Down,,,Closing Down,Closing Down
Virtual Machines,Serial Console,,,GA,,,,GA,,GA,,GA,GA,,,GA,,,,GA,GA,GA,GA,GA,,GA,,,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,,GA,,GA,,GA,,GA,,GA,GA,GA,GA,
Virtual Machines,SpotBlock-Series,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Machines Licenses,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Network,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Network,Global Vnet Peering,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Network,Virtual Network Peering,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Network NAT,Offer Coverage,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual WAN,Offer Coverage,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual WAN,ExpressRoute,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual WAN,Point-to-site VPN Gateway,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual WAN,Site-to-Site VPN Gateway,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Visual Studio App Center,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMWatch,Offer Coverage,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview,Preview
VPN Gateway,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
